hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
시에라,Damage,Silver,all-maps,전체 전장,2026-04-26,52.2,30.1,1.1379721594828596,3.4372078191851885,1.98226970987243,1.4756911796386878,S
라마트라,Tank,Silver,all-maps,전체 전장,2026-04-26,49.6,8.0,0.0476895847182107,2.1972245773362196,0.0624569474985929,0.0535965298303636,A
D.VA,Tank,Silver,all-maps,전체 전장,2026-04-26,48.3,9.4,-0.4974517026641152,2.341805806147327,0.2863058503735757,-0.1839486814490388,B
겐지,Damage,Silver,all-maps,전체 전장,2026-04-26,52.2,11.4,1.1379721594828596,2.517696472610991,0.5586298099747262,0.9062352196796062,S
도미나,Tank,Silver,all-maps,전체 전장,2026-04-26,51.5,7.5,0.8444345432000685,2.1400661634962708,-0.0260389681424545,0.4962451386630592,A
둠피스트,Tank,Silver,all-maps,전체 전장,2026-04-26,51.8,3.4,0.9702363787498344,1.4816045409242156,-1.0455067995481857,0.1639391074306264,A
라이프위버,Support,Silver,all-maps,전체 전장,2026-04-26,49.2,7.3,-0.1200461960148115,2.1162555148025524,-0.0629039722004435,-0.0971893064890643,B
라인하르트,Tank,Silver,all-maps,전체 전장,2026-04-26,49.9,7.8,0.1734914202679766,2.174751721484161,0.0276631906027843,0.1151601284018997,A
레킹볼,Tank,Silver,all-maps,전체 전장,2026-04-26,50.9,2.2,0.5928308721005336,1.1631508098056809,-1.538555025196218,-0.259723486818167,B
로드호그,Tank,Silver,all-maps,전체 전장,2026-04-26,43.7,5.5,-2.426413181093875,1.8718021769015911,-0.4413805693578031,-1.6324001363994465,C
루시우,Support,Silver,all-maps,전체 전장,2026-04-26,48.4,8.0,-0.4555177574808589,2.1972245773362196,0.0624569474985929,-0.2483278754890781,B
리퍼,Damage,Silver,all-maps,전체 전장,2026-04-26,51.7,14.9,0.928302433566581,2.766319109226186,0.9435615531466396,0.9344060813986046,S
마우가,Tank,Silver,all-maps,전체 전장,2026-04-26,48.1,5.1,-0.5813195930306249,1.8082887711792657,-0.5397156458107156,-0.5646780141426612,C
메르시,Support,Silver,all-maps,전체 전장,2026-04-26,45.8,9.4,-1.5458003322455078,2.341805806147327,0.2863058503735757,-0.8129578591978743,C
메이,Damage,Silver,all-maps,전체 전장,2026-04-26,50.3,5.7,0.3412272010009988,1.9021075263969205,-0.3944600991725948,0.0469522809315613,A
모이라,Support,Silver,all-maps,전체 전장,2026-04-26,48.4,21.2,-0.4555177574808589,3.100092288878234,1.4603282225724388,0.3108206345404601,A
미즈키,Support,Silver,all-maps,전체 전장,2026-04-26,51.4,12.9,0.8025005980168122,2.631888840136646,0.7354289449489536,0.7756719367896687,S
바스티온,Damage,Silver,all-maps,전체 전장,2026-04-26,46.9,8.9,-1.0845269352296945,2.2925347571405443,0.2100216027270341,-0.566707520047003,C
바티스트,Support,Silver,all-maps,전체 전장,2026-04-26,44.7,5.4,-2.007073729261318,1.8562979903656265,-0.4653850350452481,-1.39039825157489,C
벤데타,Damage,Silver,all-maps,전체 전장,2026-04-26,46.7,2.6,-1.168394825596204,1.2809338454620642,-1.356196613071968,-1.2435155405865097,C
벤처,Damage,Silver,all-maps,전체 전장,2026-04-26,52.4,2.6,1.2218400498493691,1.2809338454620642,-1.356196613071968,0.1906253846808342,A
브리기테,Support,Silver,all-maps,전체 전장,2026-04-26,49.2,3.3,-0.1200461960148115,1.4586150226995167,-1.081100482590862,-0.5044679106452317,C
